Estimate Households PERCENT ALLOCATED Nonfamily income in the past 12 months,Estimate Households PERCENT ALLOCATED Family income in the past 12 months,Estimate Households PERCENT ALLOCATED Household income in the past 12 months,Estimate Households Mean income (dollars),Estimate Households Median income (dollars),"Estimate Households Total $200,000 or more","Estimate Households Total $150,000 to $199,999","Estimate Households Total $100,000 to $149,999","Estimate Households Total $75,000 to $99,999","Estimate Households Total $50,000 to $74,999","Estimate Households Total $35,000 to $49,999","Estimate Households Total $25,000 to $34,999","Estimate Households Total $15,000 to $24,999","Estimate Households Total $10,000 to $14,999","Estimate Households Total Less than $10,000",Estimate Households Total,GEO_ID,ZIP
-888888888,-888888888,61.6,53831,35840,2.5,3.5,9.7,8.0,16.3,10.6,10.3,11.7,12.2,15.2,32091,860Z200US11212,11212
-888888888,-888888888,51.7,84408,54211,8.2,6.3,14.2,12.4,12.1,11.4,8.2,11.2,8.2,7.8,26281,860Z200US11213,11213
-888888888,-888888888,53.5,89337,60152,9.4,7.5,14.8,9.9,17.6,11.7,6.8,9.4,7.2,5.7,31366,860Z200US11214,11214
-888888888,-888888888,30.9,236543,173899,43.1,13.5,15.0,7.5,7.6,3.8,2.2,3.2,0.8,3.3,29465,860Z200US11215,11215
-888888888,-888888888,45.7,127418,92684,18.4,10.7,17.2,11.8,12.2,7.3,4.9,6.5,5.1,5.9,26311,860Z200US11216,11216
-888888888,-888888888,34.3,224818,152735,39.0,11.6,12.7,7.0,7.0,5.5,4.1,3.2,4.1,5.7,18912,860Z200US11217,11217
-888888888,-888888888,41.1,138411,87759,18.0,8.8,16.8,12.3,15.8,9.0,6.4,5.9,3.2,3.9,26048,860Z200US11218,11218
-888888888,-888888888,53.1,77462,51194,6.1,6.8,11.5,10.8,15.4,14.0,11.8,10.8,7.5,5.3,24031,860Z200US11219,11219
-888888888,-888888888,50.7,85180,62804,7.1,6.7,14.4,13.7,17.1,12.6,8.4,8.8,6.0,5.2,27907,860Z200US11220,11220
-888888888,-888888888,55.2,104627,77600,11.7,8.6,18.8,12.3,12.9,8.0,7.0,7.1,6.4,7.2,35245,860Z200US11221,11221
